scenario,message_size,invocation_rate,invocation_index,end_to_end_latency_ms,publisher_processing_latency_ms
Large Message (0.1 rps),large,0.1_rps,128,544.4369999999999,10.769
Large Message (0.1 rps),large,0.1_rps,129,566.3249999999999,10.168999999999999
Large Message (0.1 rps),large,0.1_rps,130,480.976,9.459
Large Message (0.1 rps),large,0.1_rps,131,548.87,9.289
Large Message (0.1 rps),large,0.1_rps,132,540.944,8.972000000000001
Large Message (0.1 rps),large,0.1_rps,133,598.686,9.379999999999999
Large Message (0.1 rps),large,0.1_rps,134,572.272,8.353
Large Message (0.1 rps),large,0.1_rps,135,576.941,9.386999999999999
Large Message (0.1 rps),large,0.1_rps,136,559.755,9.897
Large Message (0.1 rps),large,0.1_rps,137,483.471,9.385
Large Message (0.1 rps),large,0.1_rps,138,482.584,8.556
Large Message (0.1 rps),large,0.1_rps,139,495.867,8.501999999999999
Large Message (0.1 rps),large,0.1_rps,140,470.114,10.721
Large Message (0.1 rps),large,0.1_rps,141,505.412,8.801
Large Message (0.1 rps),large,0.1_rps,142,550.612,8.95
Large Message (0.1 rps),large,0.1_rps,143,637.3290000000001,10.433
Large Message (0.1 rps),large,0.1_rps,144,602.9839999999999,9.207
Large Message (0.1 rps),large,0.1_rps,145,483.29299999999995,8.485
Large Message (0.1 rps),large,0.1_rps,146,553.483,10.078
Large Message (0.1 rps),large,0.1_rps,147,505.406,8.799
Large Message (0.1 rps),large,0.1_rps,148,642.989,8.923
Large Message (0.1 rps),large,0.1_rps,149,538.726,9.106
Large Message (0.1 rps),large,0.1_rps,150,489.836,9.303
Large Message (0.1 rps),large,0.1_rps,151,492.97,9.212
Large Message (0.1 rps),large,0.1_rps,152,543.31,9.375
Large Message (0.1 rps),large,0.1_rps,153,590.511,8.631
Large Message (0.1 rps),large,0.1_rps,154,494.021,9.347
Large Message (0.1 rps),large,0.1_rps,155,580.347,10.764
Large Message (0.1 rps),large,0.1_rps,156,481.23,10.257
Large Message (0.1 rps),large,0.1_rps,157,494.614,7.941
Large Message (0.1 rps),large,0.1_rps,158,565.986,9.174
Large Message (0.1 rps),large,0.1_rps,159,491.673,9.343
Large Message (0.1 rps),large,0.1_rps,160,497.539,9.285
Large Message (0.1 rps),large,0.1_rps,161,575.985,9.186
Large Message (0.1 rps),large,0.1_rps,162,504.609,9.633
Large Message (0.1 rps),large,0.1_rps,163,626.516,9.742
Large Message (0.1 rps),large,0.1_rps,164,563.1519999999999,8.302999999999999
Large Message (0.1 rps),large,0.1_rps,165,538.627,8.784
Large Message (0.1 rps),large,0.1_rps,166,489.979,9.289
Large Message (0.1 rps),large,0.1_rps,167,492.268,8.735
Large Message (0.1 rps),large,0.1_rps,168,477.104,9.625
Large Message (0.1 rps),large,0.1_rps,169,560.902,8.954
Large Message (0.1 rps),large,0.1_rps,170,553.751,9.435
Large Message (0.1 rps),large,0.1_rps,171,598.5859999999999,8.387
Large Message (0.1 rps),large,0.1_rps,172,563.55,9.360999999999999
Large Message (0.1 rps),large,0.1_rps,173,490.344,9.126999999999999
Large Message (0.1 rps),large,0.1_rps,174,505.74300000000005,9.684
Large Message (0.1 rps),large,0.1_rps,175,588.191,9.223
Large Message (0.1 rps),large,0.1_rps,176,496.70399999999995,9.147
Large Message (0.1 rps),large,0.1_rps,177,481.741,9.219
Large Message (0.1 rps),large,0.1_rps,178,579.7909999999999,9.155
Large Message (0.1 rps),large,0.1_rps,179,635.579,16.479
Large Message (0.1 rps),large,0.1_rps,180,574.2080000000001,9.816
Large Message (0.1 rps),large,0.1_rps,181,490.697,9.341000000000001
Large Message (0.1 rps),large,0.1_rps,182,550.274,7.969
Large Message (0.1 rps),large,0.1_rps,183,485.98400000000004,8.319
Large Message (0.1 rps),large,0.1_rps,184,492.62,9.325999999999999
Large Message (0.1 rps),large,0.1_rps,185,552.008,7.835
Large Message (0.1 rps),large,0.1_rps,186,572.1129999999999,9.167
Large Message (0.1 rps),large,0.1_rps,187,483.054,9.069
Large Message (0.1 rps),large,0.1_rps,188,503.26899999999995,9.401
Large Message (0.1 rps),large,0.1_rps,189,477.025,8.888
Large Message (0.1 rps),large,0.1_rps,190,498.997,8.907
Large Message (0.1 rps),large,0.1_rps,191,597.0210000000001,9.609
Large Message (0.1 rps),large,0.1_rps,192,564.41,8.959
Large Message (0.1 rps),large,0.1_rps,193,561.455,9.176
