scenario,message_size,invocation_rate,invocation_index,end_to_end_latency_ms,publisher_processing_latency_ms
Large Message (0.1 rps),large,0.1_rps,164,515.274,75.423
Large Message (0.1 rps),large,0.1_rps,165,532.559,81.577
Large Message (0.1 rps),large,0.1_rps,166,591.097,75.033
Large Message (0.1 rps),large,0.1_rps,167,1014.168,86.55699999999999
Large Message (0.1 rps),large,0.1_rps,168,604.576,68.17099999999999
Large Message (0.1 rps),large,0.1_rps,169,535.339,77.551
Large Message (0.1 rps),large,0.1_rps,170,638.852,77.28999999999999
Large Message (0.1 rps),large,0.1_rps,171,597.707,85.771
Large Message (0.1 rps),large,0.1_rps,172,606.89,89.166
Large Message (0.1 rps),large,0.1_rps,173,561.0,85.83200000000001
Large Message (0.1 rps),large,0.1_rps,174,577.6099999999999,77.33500000000001
Large Message (0.1 rps),large,0.1_rps,175,690.4709999999999,156.20000000000002
Large Message (0.1 rps),large,0.1_rps,176,540.8530000000001,71.19200000000001
Large Message (0.1 rps),large,0.1_rps,177,544.299,78.675
Large Message (0.1 rps),large,0.1_rps,178,532.409,61.302
Large Message (0.1 rps),large,0.1_rps,179,547.26,67.928
Large Message (0.1 rps),large,0.1_rps,180,657.744,71.229
Large Message (0.1 rps),large,0.1_rps,181,514.304,66.812
Large Message (0.1 rps),large,0.1_rps,182,1181.9789999999998,77.92699999999999
Large Message (0.1 rps),large,0.1_rps,183,597.214,73.172
Large Message (0.1 rps),large,0.1_rps,184,605.7289999999999,66.775
Large Message (0.1 rps),large,0.1_rps,185,562.4019999999999,68.164
Large Message (0.1 rps),large,0.1_rps,186,587.5519999999999,124.28
Large Message (0.1 rps),large,0.1_rps,187,622.99,101.423
Large Message (0.1 rps),large,0.1_rps,188,647.045,74.77300000000001
Large Message (0.1 rps),large,0.1_rps,189,595.954,78.53200000000001
Large Message (0.1 rps),large,0.1_rps,190,614.5260000000001,79.406
Large Message (0.1 rps),large,0.1_rps,191,550.078,85.779
Large Message (0.1 rps),large,0.1_rps,192,620.52,78.221
Large Message (0.1 rps),large,0.1_rps,193,593.839,89.36099999999999
Large Message (0.1 rps),large,0.1_rps,194,524.2719999999999,74.11
Large Message (0.1 rps),large,0.1_rps,195,624.503,81.406
Large Message (0.1 rps),large,0.1_rps,196,601.62,59.043
Large Message (0.1 rps),large,0.1_rps,197,629.1999999999999,63.480999999999995
Large Message (0.1 rps),large,0.1_rps,198,547.596,73.71600000000001
Large Message (0.1 rps),large,0.1_rps,199,615.533,79.32799999999999
Large Message (0.1 rps),large,0.1_rps,200,604.622,69.116
Large Message (0.1 rps),large,0.1_rps,201,616.966,95.205
Large Message (0.1 rps),large,0.1_rps,202,1112.327,68.132
Large Message (0.1 rps),large,0.1_rps,203,549.289,69.96
Large Message (0.1 rps),large,0.1_rps,204,661.363,59.949000000000005
Large Message (0.1 rps),large,0.1_rps,205,545.475,79.19800000000001
Large Message (0.1 rps),large,0.1_rps,206,716.0300000000001,131.806
Large Message (0.1 rps),large,0.1_rps,207,547.77,93.833
Large Message (0.1 rps),large,0.1_rps,208,648.3100000000001,79.67
Large Message (0.1 rps),large,0.1_rps,209,607.9599999999999,74.227
Large Message (0.1 rps),large,0.1_rps,210,639.1510000000001,67.441
Large Message (0.1 rps),large,0.1_rps,211,588.9590000000001,67.088
Large Message (0.1 rps),large,0.1_rps,212,595.719,75.197
Large Message (0.1 rps),large,0.1_rps,213,617.139,81.31700000000001
Large Message (0.1 rps),large,0.1_rps,214,569.158,110.974
Large Message (0.1 rps),large,0.1_rps,215,547.8629999999999,84.62899999999999
Large Message (0.1 rps),large,0.1_rps,216,581.156,71.733
Large Message (0.1 rps),large,0.1_rps,217,591.114,90.81
Large Message (0.1 rps),large,0.1_rps,218,604.2579999999999,68.39099999999999
Large Message (0.1 rps),large,0.1_rps,219,234.858,108.933
Large Message (0.1 rps),large,0.1_rps,220,672.787,115.552
Large Message (0.1 rps),large,0.1_rps,221,588.567,66.48700000000001
Large Message (0.1 rps),large,0.1_rps,222,542.331,67.684
Large Message (0.1 rps),large,0.1_rps,223,592.99,66.33200000000001
Large Message (0.1 rps),large,0.1_rps,224,1089.9589999999998,101.913
Large Message (0.1 rps),large,0.1_rps,225,738.469,174.713
Large Message (0.1 rps),large,0.1_rps,226,559.436,93.515
Large Message (0.1 rps),large,0.1_rps,227,600.3770000000001,74.534
Large Message (0.1 rps),large,0.1_rps,228,746.925,81.364
Large Message (0.1 rps),large,0.1_rps,229,664.314,84.47
Large Message (0.1 rps),large,0.1_rps,230,540.8570000000001,76.09299999999999
Large Message (0.1 rps),large,0.1_rps,231,649.941,112.258
Large Message (0.1 rps),large,0.1_rps,232,623.925,90.26
Large Message (0.1 rps),large,0.1_rps,233,673.652,108.189
Large Message (0.1 rps),large,0.1_rps,234,570.3040000000001,98.833
Large Message (0.1 rps),large,0.1_rps,235,611.585,71.289
Large Message (0.1 rps),large,0.1_rps,236,539.147,72.89
Large Message (0.1 rps),large,0.1_rps,237,548.9079999999999,81.43599999999999
Large Message (0.1 rps),large,0.1_rps,238,503.317,69.678
Large Message (0.1 rps),large,0.1_rps,239,525.2289999999999,85.08699999999999
Large Message (0.1 rps),large,0.1_rps,240,629.985,92.515
Large Message (0.1 rps),large,0.1_rps,241,556.2470000000001,100.95800000000001
Large Message (0.1 rps),large,0.1_rps,242,552.143,71.31700000000001
Large Message (0.1 rps),large,0.1_rps,243,656.555,76.431
Large Message (0.1 rps),large,0.1_rps,244,663.924,107.78
Large Message (0.1 rps),large,0.1_rps,245,654.51,111.76
