mechanism,region_pair,message_size_bytes,rate_rps,end_to_end_latency_ms,vcpu,memory_mb,source
pubsub,us-east1->us-east1,1048576,0.1,90.269,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,97.096,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,61.268,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,92.92,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,73.086,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,89.232,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,92.809,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,119.286,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,97.197,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,66.891,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,123.272,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,93.663,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,91.526,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,77.581,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,69.298,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,100.258,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,87.748,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,586.3040000000001,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,68.336,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,132.42399999999998,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,75.767,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,86.59400000000001,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,83.896,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,124.571,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,91.14,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,109.089,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,71.69,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,99.34700000000001,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,98.79599999999999,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,99.52999999999999,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,79.22999999999999,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,102.978,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,98.60900000000001,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,91.82,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,84.059,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,97.084,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,81.04400000000001,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,94.44500000000001,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,73.931,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,102.25099999999999,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,86.565,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,86.61099999999999,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,71.467,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,87.992,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,79.80900000000001,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,102.73100000000001,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,83.11399999999999,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
pubsub,us-east1->us-east1,1048576,0.1,97.64200000000001,1,1024,2cpu_2gb_ea1_to_ea1_pubsub_latency_results.csv
